Artist,ArtistID,Genre,Album_Covers,Album_Ids
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,metal,"https://i.scdn.co/image/ab67616d00001e02b829b621e43a1f5b72cc4388,https://i.scdn.co/image/ab67616d00001e02145e1cf12538f5666511237d,https://i.scdn.co/image/ab67616d00001e02ed8fef21c095b0ac6aa4ba4b,https://i.scdn.co/image/ab67616d00001e025721adac031512b903f10d03,https://i.scdn.co/image/ab67616d00001e027cb20e0a29701a667dac3ede,https://i.scdn.co/image/ab67616d00001e02c14832ac3b27313055748c03,https://i.scdn.co/image/ab67616d00001e02987fb4c5ec8790e9f637a4a4,https://i.scdn.co/image/ab67616d00001e0215fdb3965842f6a920d9d502,https://i.scdn.co/image/ab67616d00001e024774e3f8d2c76854442bb420,https://i.scdn.co/image/ab67616d00001e02fb7e648af7f3cc7054394d73,https://i.scdn.co/image/ab67616d00001e028512f90ead4b4412cd7832ae,https://i.scdn.co/image/ab67616d00001e02ea812961e018c612e1e51339,https://i.scdn.co/image/ab67616d00001e02a8eda95a8fb828331ea6b670,https://i.scdn.co/image/ab67616d00001e0246e207de66ba06422897f769,https://i.scdn.co/image/ab67616d00001e02f7f5f22132802485e8e0034d,https://i.scdn.co/image/ab67616d00001e02b4ad7ebaf4575f120eb3f193,https://i.scdn.co/image/ab67616d00001e0291e2fd0e284ca923b8743b6a","0zcNtUZ2oEpRmiDuWBFvcX,5Eevxp2BCbWq25ZdiXRwYd,6hU9JCoqq4GjYq86dQ1o9b,3XB2yloP7l00tEUmaODtVi,2FUsvD1bw53HGOjAg56vRD,7qRKpkP0jSOlBMLYZhAMCh,4XHIjbhjRmqWlosjj5rqSI,0hJ3A7sih1AXDoMjXHLr7Q,7IYqppCBhR5z9z8JqgXuxi,4flcwtqnLoKZJ2wrCp1aJq,1FiRqhpAowNK8gTl5sOhxZ,5O3g29evI7rHyUNVeuPkBQ,72seWTJF9U5SljizfyF2ZK,2tlTBLz2w52rpGCLBGyGw6,0ZBE7rVC0zKFVt5osvXlnz,4Gfnly5CzMJQqkUFfoHaP3,1MhedvSCTqGphXQz3oucpj"
Metallica,2ye2Wgw4gimLv2eAKyk1NB,metal,"https://i.scdn.co/image/ab67616d00001e02d1d62648e6c02c252a7c9009,https://i.scdn.co/image/ab67616d00001e022861274cf2dca79cb53334b6,https://i.scdn.co/image/ab67616d00001e02f2651ad6c2b8c509055f410e,https://i.scdn.co/image/ab67616d00001e02f1a501610a71d48c526c7ecd,https://i.scdn.co/image/ab67616d00001e02bf3f45395f620f8bbf98d919,https://i.scdn.co/image/ab67616d00001e02dfe44d577f07e08564ec73ed,https://i.scdn.co/image/ab67616d00001e0296134a0376892706d87910c4,https://i.scdn.co/image/ab67616d00001e022fe08610316f3e5ebaa06d68,https://i.scdn.co/image/ab67616d00001e026b275d72474c508ce2b405a4,https://i.scdn.co/image/ab67616d00001e027e1f85f69323acac962516c4,https://i.scdn.co/image/ab67616d00001e02a49eff6d64cafc2551553380,https://i.scdn.co/image/ab67616d00001e020a3eb7ef6df5732fc6fa77ec,https://i.scdn.co/image/ab67616d00001e02c99dbd20668c97579417595f,https://i.scdn.co/image/ab67616d00001e021f9edf15e43f4c2f4938b869,https://i.scdn.co/image/ab67616d00001e028161357a12a172721e772e0d,https://i.scdn.co/image/ab67616d00001e022127e0afac383fb73d533a7d","4vxkHVyS6D66Rwt0mpz0cS,3KESkLVC8ivaWmZAoDinoc,4kizef5du9TgAGfNhWbKmt,72grIwGP38Iy2S1jxt1Gjd,3FgLMfp5o2h2rAny7S6h57,0lf5ceMub7KQhLfGxCdM06,3A0FTyAAcjgfhPibPsuVSc,4ljK2LVKvEPd5xPgUJn0Bs,3kVRcb2fuCcKcqltzczxRP,5b7HQ04lPT7eGJQ7fmVsjC,7KDqRmr937ylvGilPGWxfD,5rI3pfrpvmdYtGAsBwaGec,4iBN00FZaKlaXVYfxV7bBQ,55fq75UfkYbGMq4CncCtOH,4Cn4T0onWhfJZwWVzU5a2t,5gzLOflH95LkKYE6XSXE9k"
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,metal,"https://i.scdn.co/image/ab67616d00001e0233d7a402ecf0726e7cea6a64,https://i.scdn.co/image/ab67616d00001e02b7d00bebdf6300a90ee836e5,https://i.scdn.co/image/ab67616d00001e0269e7a57894d2c34aaf921105,https://i.scdn.co/image/ab67616d00001e02b114fcb563aee544e5664e58,https://i.scdn.co/image/ab67616d00001e022703424598278835dab95273,https://i.scdn.co/image/ab67616d00001e020005d598191d7e440da4180e,https://i.scdn.co/image/ab67616d00001e0218b2c66a85231b7482d100ca,https://i.scdn.co/image/ab67616d00001e02c3eba509a4435ce331c3e23f","2hNoEiyzGKvV0Ok0RDJI0W,5AtTKLErRJPLZAOfPabe7m,1TRquVxpNwrQDelDvDqPLN,0gJQUJxCWLw6V5IlDKarWI,46k4V5frUKFdFxP0R5jxbg,1ccEoOZbLFmmqOo6O8XrBK,6QD6SofVFo3SGbip7YF4fF,2rfZ8dHh2qosczLjUGQrV8"
Slipknot,05fG473iIaoy82BF1aGhL8,metal,"https://i.scdn.co/image/ab67616d00001e0226f20b4d67c0c7b0f137ce4f,https://i.scdn.co/image/ab67616d00001e02fb136dbd6d53eaafcbdc37d3,https://i.scdn.co/image/ab67616d00001e02a886a660d1f935522ce1a77d,https://i.scdn.co/image/ab67616d00001e02e7fbc0883149094912559f2c,https://i.scdn.co/image/ab67616d00001e0264facfc100f32f659df9d6b5,https://i.scdn.co/image/ab67616d00001e02a2068bbfe06e5227c091cf3d,https://i.scdn.co/image/ab67616d00001e026b3463e7160d333ada4b175a,https://i.scdn.co/image/ab67616d00001e0237f7f56faf32a554e29b72ee,https://i.scdn.co/image/ab67616d00001e0249de1b4acdde02e84c6023b7","754RY5WpZ2LTUZsk8kDBju,09pLzub9F2asXde8dH2UDN,7BXGeFdzcEbiwC32n1In81,2ISXjEm0D4chvU2IDNvUqk,2rdXvZY0IkT1TPuA8SKTix,3kVZ0rQgW6yZpiTmDP2Bpm,4ZDBQSIDIZRUBOG2OHcN3T,7yQmrL4bms0JIWamjA2ok1,5lOFvOWAdy9G6p44noRILU"
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,metal,"https://i.scdn.co/image/ab67616d00001e028b4b46b28175fc4726729c17,https://i.scdn.co/image/ab67616d00001e0268780bf3f5a4af94f2c953c6,https://i.scdn.co/image/ab67616d00001e0289c159e4ffe46d64453fa2b9,https://i.scdn.co/image/ab67616d00001e02e391cbc2be368101d7e31db1,https://i.scdn.co/image/ab67616d00001e029989949d5b4f76d1aa9e0304,https://i.scdn.co/image/ab67616d00001e027835994cafa969e93bf18f7d,https://i.scdn.co/image/ab67616d00001e02aae4a488e36bbcf2d983befa,https://i.scdn.co/image/ab67616d00001e02cd626f837ce7967a29bc7d0a,https://i.scdn.co/image/ab67616d00001e027b697330234b047323514770","1a1WAQEoebVlvCWng0k3fG,7vAcymF4feKxvqcUDzLQD2,3BSdqYon6S0ufN6scU1U4W,578zOjU7XERB2xRyXAwiF3,6cNLSrGEjnrEhV5valjcYD,5zCYeTXuAIGtf8MxVrQxDI,3sLKRcUHrHX4fWR83rKGD2,7gjRHt4PuiDoMZmaojmTAf,5IcAPAVFJi4ETttx2GONFB"
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,metal,"https://i.scdn.co/image/ab67616d00001e025149c948fde506624246a684,https://i.scdn.co/image/ab67616d00001e02b75f7297bea89ed838a58a82,https://i.scdn.co/image/ab67616d00001e026c3a93faaca70db5d767169a,https://i.scdn.co/image/ab67616d00001e0249e3b7e85829da2fbc68bc46,https://i.scdn.co/image/ab67616d00001e02736145b97bab8fa92cb6113f,https://i.scdn.co/image/ab67616d00001e02ca625e24d1077176e0363c2f,https://i.scdn.co/image/ab67616d00001e02a78c069031d4774b4eeba639,https://i.scdn.co/image/ab67616d00001e02c87fe06ea2ea9afc56f7b79f","0e1WaSNDZnoPixaxDNdWo4,5dH7StOKoPnNEbWh86MwFz,6yC6aLzX5knhWpKDidwxft,04mkS7FooK8fRbB626T9NR,7FqHuAvmREiIwVXVpZ9ooP,2BxDLAnw4QPcs8U4r1StrI,1prhMiPHHEEzK5ueEx2vWB,718kbp0LCMGFNG3JuEu0Th"
Hollywood Undead,0CEFCo8288kQU7mJi25s6E,metal,"https://i.scdn.co/image/ab67616d00001e02b216f9b370d01ffff16204a8,https://i.scdn.co/image/ab67616d00001e02ecf1e28e7303227937b42527,https://i.scdn.co/image/ab67616d00001e029d9ad06a0afeb368cdab1067,https://i.scdn.co/image/ab67616d00001e02e5991792ed23a15c8c8927d5,https://i.scdn.co/image/ab67616d00001e02af869954d48d02f3611b4584,https://i.scdn.co/image/ab67616d00001e02595fbb5d090d6eff8eb52951,https://i.scdn.co/image/ab67616d00001e02b34bdd500b660e38dba68cb9,https://i.scdn.co/image/ab67616d00001e025ac6e30728759635c7fd94b4,https://i.scdn.co/image/ab67616d00001e02e3a40a64f0473c111cf42b06,https://i.scdn.co/image/ab67616d00001e022000b18f3f00356e534daa50","4G0Sc7oeBh0AbSMvrKtscr,2vfJq1u1fi60RaX0p4niHr,56CWTHCr8ZBZ1ojmppH5br,4ltnRU2rPIbK3RPdtQFAWm,05ofL0H4dSj3jCuzEtVzZN,4VoQql7USt2nLeMosevugK,2aMt42lXQPHFaA90TMR4RV,7JrHhKMoqsCiaxIrJ9Fm5B,2UYxjXHKm1JDT6JA7OSeR6,2lgWazCOy1TJflfqXiy01v"
Deftones,6Ghvu1VvMGScGpOUJBAHNH,metal,"https://i.scdn.co/image/ab67616d00001e0266c9f5d6f13bfc9abedc1056,https://i.scdn.co/image/ab67616d00001e02a1de34b79834eddf96f803ff,https://i.scdn.co/image/ab67616d00001e0273652b7a0dc388dd1d044b69,https://i.scdn.co/image/ab67616d00001e0258df6181041c38412db1b253,https://i.scdn.co/image/ab67616d00001e025b37a73489927b4d3dd1729b,https://i.scdn.co/image/ab67616d00001e02fdf04b824d53ee302180b5e5,https://i.scdn.co/image/ab67616d00001e02e8e8eda544f82d427b173d9d,https://i.scdn.co/image/ab67616d00001e02c09a38cf054085b18eeb88ae,https://i.scdn.co/image/ab67616d00001e025c53799f473fa3e1a48c00ed,https://i.scdn.co/image/ab67616d00001e020b1129853982ea17845d4eb6,https://i.scdn.co/image/ab67616d00001e02e0aa988082afc4ea586ab8dc","0VEFy5MsBiq0u2lWL0OwOd,3tsXyEbUQehXPaRFCS8K1n,4PIVdqvL1Rc7T7Vfsr8n8Q,7rLUzHOq0d0mRGGEIqKfli,4T97r2arNiQLX82pUApZfq,4o1KnoVpzXZceJxyjELEQB,3hBCkMqaYnCmJciEUKqyfC,6252G7bGCVijXlqAjtjeDP,5LEXck3kfixFaA3CqVE7bC,7o4UsmV37Sg5It2Eb7vHzu,30YN03R4Bjl8Qwz8wPRoXG"
Shinedown,70BYFdaZbEKbeauJ670ysI,metal,"https://i.scdn.co/image/ab67616d00001e02bb85bcab29cd1c193c46afb1,https://i.scdn.co/image/ab67616d00001e027b6fda92d5912fef92f373de,https://i.scdn.co/image/ab67616d00001e02f975547b38522bb35ea09625,https://i.scdn.co/image/ab67616d00001e0252224e758d5aebeb86fd39bd,https://i.scdn.co/image/ab67616d00001e02163d67b70d02808aa057e10b","0dtwIycvTaFNjo44QRwWz7,7969zwJB8p021EBcCUjsv9,2WvIDc4wdKshyFh2EzLAs0,511AeIx5SwqUp6stQyxm47,320IHgTaLRjvcRhyfmYbk7"
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,metal,"https://i.scdn.co/image/ab67616d00001e02f5e7b2e5adaa87430a3eccff,https://i.scdn.co/image/ab67616d00001e02c65f8d04502eeddbdd61fa71,https://i.scdn.co/image/ab67616d00001e027cf4c0d42c5b62c9deebdcd8,https://i.scdn.co/image/ab67616d00001e0230d45198d0c9e8841f9a9578,https://i.scdn.co/image/ab67616d00001e028fc454734a3d19585bc12dd1","3QxX3NbWyLlLG6lP1xveL3,0cn6MHyx4YuZauaB7Pb66o,6lA1sGw7eCv27bcpd5E0wT,6jWde94ln40epKIQCd8XUh,7p5mnxLTjbvs4kInkK8za9"
