Artist,ArtistID
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK
Metallica,2ye2Wgw4gimLv2eAKyk1NB
Slipknot,05fG473iIaoy82BF1aGhL8
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM
Hollywood Undead,0CEFCo8288kQU7mJi25s6E
Papa Roach,4RddZ3iHvSpGV4dvATac9X
Deftones,6Ghvu1VvMGScGpOUJBAHNH
System Of A Down,5eAWCfyUhZtHHtBdNk56l1
Shinedown,70BYFdaZbEKbeauJ670ysI
Disturbed,3TOqt5oJwL9BE2NG9MEwDa
Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP
Avenged Sevenfold,0nmQIMXWTXfhgOBdNzhGOs
Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz
TOOL,2yEwvVSSSUkcLeSTNyHKh8
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL
Seether,6B5c4sch27tWHAGdarpPaW
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY
Godsmack,6gZq1Q6bdOxsUPUG1TaFbF
I Prevail,3Uobr6LgQpBbk6k4QGAb3V
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ
Sabaton,3o2dn2O0FCVsWDFSh8qxgG
Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ
Evanescence,5nGIFgo0shDenQYSE0Sn7c
Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt
Nine Inch Nails,0X380XXQSNBYuleKzav5UO
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj
Dance Gavin Dance,6guC9FqvlVboSKTI77NG2k
Volbeat,0L5fC7Ogm2YwgqVCRcF1bT
Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5
Pantera,14pVkFUHDL207LzLHtSA18
Motionless In White,6MwPCCR936cYfM1dLsGVnl
Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT
Staind,5KDIH2gF0VpelTqyQS7udb
Soundgarden,5xUf6j4upBrXZPg6AI4MRK
