Artist,ArtistID,Genre,Album_Covers,Album_Ids
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,metal,"https://i.scdn.co/image/ab67616d00001e02f1a378f8bcaa4be358f02ca2,https://i.scdn.co/image/ab67616d00001e02b829b621e43a1f5b72cc4388,https://i.scdn.co/image/ab67616d00001e02c0dde03a3c671cf75da4f436,https://i.scdn.co/image/ab67616d00001e02145e1cf12538f5666511237d,https://i.scdn.co/image/ab67616d00001e02ed8fef21c095b0ac6aa4ba4b,https://i.scdn.co/image/ab67616d00001e023f92397db687a08cadc8e842,https://i.scdn.co/image/ab67616d00001e025721adac031512b903f10d03,https://i.scdn.co/image/ab67616d00001e027cb20e0a29701a667dac3ede,https://i.scdn.co/image/ab67616d00001e02c14832ac3b27313055748c03,https://i.scdn.co/image/ab67616d00001e02987fb4c5ec8790e9f637a4a4,https://i.scdn.co/image/ab67616d00001e0215fdb3965842f6a920d9d502,https://i.scdn.co/image/ab67616d00001e024774e3f8d2c76854442bb420,https://i.scdn.co/image/ab67616d00001e02fb7e648af7f3cc7054394d73,https://i.scdn.co/image/ab67616d00001e028512f90ead4b4412cd7832ae,https://i.scdn.co/image/ab67616d00001e02ea812961e018c612e1e51339,https://i.scdn.co/image/ab67616d00001e02ca5e606335bea5cf5bbdbea3,https://i.scdn.co/image/ab67616d00001e0204bf2fb3b58fbea410d42488,https://i.scdn.co/image/ab67616d00001e0259211e56a493ac4509457bab,https://i.scdn.co/image/ab67616d00001e02302a793ccd682e6549c91f10,https://i.scdn.co/image/ab67616d00001e0241f1f875d2dd508f1e5e29c8","28DUZ0itKISf2sr6hlseMy,0zcNtUZ2oEpRmiDuWBFvcX,6MFWo7xkvWXMTXfBAWNULd,5Eevxp2BCbWq25ZdiXRwYd,6hU9JCoqq4GjYq86dQ1o9b,1GIFxC338G7O7Wx2P5IaJv,3XB2yloP7l00tEUmaODtVi,2FUsvD1bw53HGOjAg56vRD,7qRKpkP0jSOlBMLYZhAMCh,4XHIjbhjRmqWlosjj5rqSI,0hJ3A7sih1AXDoMjXHLr7Q,7IYqppCBhR5z9z8JqgXuxi,4flcwtqnLoKZJ2wrCp1aJq,1FiRqhpAowNK8gTl5sOhxZ,5O3g29evI7rHyUNVeuPkBQ,6sifUWah3rpUMeQDrfmym0,4fy0SXW5G8evBCo2A3kn02,5uvXx5ZQswNRFCdHR521YZ,113yjuFZEqkkbuLi4sEBxo,7IjD1U0ig5h7nwXYtexLok"
Metallica,2ye2Wgw4gimLv2eAKyk1NB,metal,"https://i.scdn.co/image/ab67616d00001e02c1a13209dfe146aef3296e34,https://i.scdn.co/image/ab67616d00001e0276c60d2128c8e4649b85f2b2,https://i.scdn.co/image/ab67616d00001e02d6434e58cc398487fb379bfb,https://i.scdn.co/image/ab67616d00001e021cc6d15e607e0a514b7f4b95,https://i.scdn.co/image/ab67616d00001e02d1d62648e6c02c252a7c9009,https://i.scdn.co/image/ab67616d00001e0295958b5d219f1b328f083e08,https://i.scdn.co/image/ab67616d00001e024d9b5b218dda1a963d06ee45,https://i.scdn.co/image/ab67616d00001e02744a08fd20f6bb5c3ffef7c5,https://i.scdn.co/image/ab67616d00001e02b4763ffbf540cd0c69bbee33,https://i.scdn.co/image/ab67616d00001e022861274cf2dca79cb53334b6,https://i.scdn.co/image/ab67616d00001e02b9f88a8c32bbbb80f15952b4,https://i.scdn.co/image/ab67616d00001e02e5a07037750e97dca575c690,https://i.scdn.co/image/ab67616d00001e02d534cd7750f657bc2e361666,https://i.scdn.co/image/ab67616d00001e027b10c20f959932a6c790c074,https://i.scdn.co/image/ab67616d00001e02f2651ad6c2b8c509055f410e,https://i.scdn.co/image/ab67616d00001e026c5fb059a07c1b2b15a90280,https://i.scdn.co/image/ab67616d00001e02f1a501610a71d48c526c7ecd,https://i.scdn.co/image/ab67616d00001e02bf3f45395f620f8bbf98d919,https://i.scdn.co/image/ab67616d00001e027cbc9960730e85c01e987f4c,https://i.scdn.co/image/ab67616d00001e028b7be23eb07a8c5c73ef6cfa","7h5xn0Olvx2p0eQcSt1Osy,3dck2tBxGfxj9m3CguDgjb,7N32mF0BlA3BOhlSyCiHgf,7Hc3m7konwS0ugyN8vJhNg,4vxkHVyS6D66Rwt0mpz0cS,2zhgGiT3sNBK2rbrC7JcRW,5g3oqy7nAK03ke2cR5c95I,3inFkZMAUrTnPFVSoLHb9O,5tEW32iyrRuYPQQ4bwUiCf,3KESkLVC8ivaWmZAoDinoc,0CVEbITaSHVBJO2GnawOaj,4bcUiX49wpmDRhrC8TvDWV,1TKCBDHIWLiqjWTxomqniD,7LwifLL1anaEd9eIIfIkx7,4kizef5du9TgAGfNhWbKmt,0ecPxTAKqXdr2MJYdYOM7e,72grIwGP38Iy2S1jxt1Gjd,3FgLMfp5o2h2rAny7S6h57,3a1SJd8obHju43McHQew7J,6PZnDE9gWetRTjw3pHbodW"
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,metal,"https://i.scdn.co/image/ab67616d00001e026b0927017b909a2670e3cf01,https://i.scdn.co/image/ab67616d00001e0233d7a402ecf0726e7cea6a64,https://i.scdn.co/image/ab67616d00001e02b7d00bebdf6300a90ee836e5,https://i.scdn.co/image/ab67616d00001e0269e7a57894d2c34aaf921105,https://i.scdn.co/image/ab67616d00001e02af0d8283eb150711bd6969ab,https://i.scdn.co/image/ab67616d00001e02b114fcb563aee544e5664e58,https://i.scdn.co/image/ab67616d00001e022703424598278835dab95273,https://i.scdn.co/image/ab67616d00001e0294d6c87d315a9c932bf30c3b,https://i.scdn.co/image/ab67616d00001e020005d598191d7e440da4180e,https://i.scdn.co/image/ab67616d00001e0218b2c66a85231b7482d100ca,https://i.scdn.co/image/ab67616d00001e02cf883b7292466f9e59b39880,https://i.scdn.co/image/ab67616d00001e02c3eba509a4435ce331c3e23f,https://i.scdn.co/image/ab67616d00001e02580ad25b9b665becd166b7c4,https://i.scdn.co/image/ab67616d00001e0234df3b7b1010b8e53e0f269e,https://i.scdn.co/image/ab67616d00001e02f0c7a7af5ff95d8029821a2b,https://i.scdn.co/image/ab67616d00001e021ea8c62b52153c9016580b9e,https://i.scdn.co/image/ab67616d00001e02538fbc5e24f234e4a16862e0,https://i.scdn.co/image/ab67616d00001e0230c3084bbaa6d9534e6553e2,https://i.scdn.co/image/ab67616d00001e022e12ce96ba2adeb944452dcb,https://i.scdn.co/image/ab67616d00001e0251fa0b84715d546fd6349349","0e4UoB6RvG4UyAnsyuKD4m,2hNoEiyzGKvV0Ok0RDJI0W,5AtTKLErRJPLZAOfPabe7m,1TRquVxpNwrQDelDvDqPLN,7xC45nWTjrR3fJZNjelxsz,0gJQUJxCWLw6V5IlDKarWI,46k4V5frUKFdFxP0R5jxbg,3GSta6Iv6ogRJ6kfTxKXTk,1ccEoOZbLFmmqOo6O8XrBK,6QD6SofVFo3SGbip7YF4fF,30qDcrg8hYCBi64TXOM5gb,2rfZ8dHh2qosczLjUGQrV8,6YVWeGZwZPznfTjWUi6HvP,572LXQscguOjibkTgQwlCC,4iv9PO9UCHeO7ciQ2wpQFQ,5ke4ePtoS9I5DiIjlFgrpy,0wvUmQdhWYJ9ej3BLddpuG,4uZciTpxmFZ6lpovVv8l6E,1jq6kbuBWCyuqV66xkWQsb,3BpPThkSnJZF2wo5vrmUup"
Slipknot,05fG473iIaoy82BF1aGhL8,metal,"https://i.scdn.co/image/ab67616d00001e0226f20b4d67c0c7b0f137ce4f,https://i.scdn.co/image/ab67616d00001e0250ad02b722a1ce60c7ffcf9c,https://i.scdn.co/image/ab67616d00001e02fb136dbd6d53eaafcbdc37d3,https://i.scdn.co/image/ab67616d00001e02f1c94f060feb7e9a2cf321ef,https://i.scdn.co/image/ab67616d00001e02b25ef76c43a12d5e13742799,https://i.scdn.co/image/ab67616d00001e0206e3a56f02aeff58d3a47a10,https://i.scdn.co/image/ab67616d00001e02eed722040c6810f7a7da93ea,https://i.scdn.co/image/ab67616d00001e02baf04a1d30db6ac9de26da7d,https://i.scdn.co/image/ab67616d00001e02a886a660d1f935522ce1a77d,https://i.scdn.co/image/ab67616d00001e02adaf765a94cd25c569a37f0a,https://i.scdn.co/image/ab67616d00001e02457163bec7e8e4decf8c6375,https://i.scdn.co/image/ab67616d00001e02ab3905dc81892ec0de89e091,https://i.scdn.co/image/ab67616d00001e02e7fbc0883149094912559f2c,https://i.scdn.co/image/ab67616d00001e0264facfc100f32f659df9d6b5,https://i.scdn.co/image/ab67616d00001e02a2068bbfe06e5227c091cf3d,https://i.scdn.co/image/ab67616d00001e026b3463e7160d333ada4b175a,https://i.scdn.co/image/ab67616d00001e0237f7f56faf32a554e29b72ee,https://i.scdn.co/image/ab67616d00001e02a62eefef8ee83d5e09aa8331,https://i.scdn.co/image/ab67616d00001e0249de1b4acdde02e84c6023b7,https://i.scdn.co/image/ab67616d00001e0292eed9a9be6119cbc22f0066","754RY5WpZ2LTUZsk8kDBju,6fXgJq5H8oVeyfSalFrLed,09pLzub9F2asXde8dH2UDN,0pO7TRTo69ENwwKzgE7guN,7sQaAG0uKCPPV45R12SWu9,3nyxMohQINxnhYwyHvUqVf,0ApKaazNHf0gzjAYZauexq,2dL9Q5AtIv4Rw1L6lKcIUc,7BXGeFdzcEbiwC32n1In81,3jxfbLOTT3K7mVsEpfTEX3,0hFWapnP7orzXCMwNU5DuA,4vD8PvUW4UfSL9K4CspEzv,2ISXjEm0D4chvU2IDNvUqk,2rdXvZY0IkT1TPuA8SKTix,3kVZ0rQgW6yZpiTmDP2Bpm,4ZDBQSIDIZRUBOG2OHcN3T,7yQmrL4bms0JIWamjA2ok1,5Zs0mNCTs73CqPKbZPWFX9,5lOFvOWAdy9G6p44noRILU,4I3hdRt7CVofGcgbheQ2fk"
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,metal,"https://i.scdn.co/image/ab67616d00001e025149c948fde506624246a684,https://i.scdn.co/image/ab67616d00001e0294ffd6439849a6e2762dab46,https://i.scdn.co/image/ab67616d00001e02b75f7297bea89ed838a58a82,https://i.scdn.co/image/ab67616d00001e026c3a93faaca70db5d767169a,https://i.scdn.co/image/ab67616d00001e0249e3b7e85829da2fbc68bc46,https://i.scdn.co/image/ab67616d00001e02d1d20331aebffeeb8924d916,https://i.scdn.co/image/ab67616d00001e02736145b97bab8fa92cb6113f,https://i.scdn.co/image/ab67616d00001e024ae59429fd861249dff93e32,https://i.scdn.co/image/ab67616d00001e0260cf7c8dd93815ccd6cb4830,https://i.scdn.co/image/ab67616d00001e024d99a02eced3aa89f4462585,https://i.scdn.co/image/ab67616d00001e0207358c5216b05273ef189453,https://i.scdn.co/image/ab67616d00001e02ca625e24d1077176e0363c2f,https://i.scdn.co/image/ab67616d00001e0273c120875aa9d5347a77b734,https://i.scdn.co/image/ab67616d00001e02ca246c22d020cf3263f125e5,https://i.scdn.co/image/ab67616d00001e02c37573d66aaa385968bd9724,https://i.scdn.co/image/ab67616d00001e02f872e55ff86325ec67da1ed5,https://i.scdn.co/image/ab67616d00001e020ef04f14c3da4058d65f0fab,https://i.scdn.co/image/ab67616d00001e02ae37ed1e30cd4352bec1aac5,https://i.scdn.co/image/ab67616d00001e02e769b2990ffed3859f666209,https://i.scdn.co/image/ab67616d00001e021f7d3a5956431855541ac182","0e1WaSNDZnoPixaxDNdWo4,2CbaaiHPTuL24yajaKtH9k,5dH7StOKoPnNEbWh86MwFz,6yC6aLzX5knhWpKDidwxft,04mkS7FooK8fRbB626T9NR,3FlBus3kg0nJ7COomsJfeV,7FqHuAvmREiIwVXVpZ9ooP,49dRYUEg8iPbeKAYQKp1eA,6IYPmM3xsOPL2XPSvf1ZAz,48IS6ncrXfIzjIXQRPcBqS,6kuKL1Xc9FlpcStHV3XCwO,2BxDLAnw4QPcs8U4r1StrI,20YfDBr8sQJbKuHF0XKOjN,6PlQacVc09348OiGAHoEkt,57vsBm45xiin2upj9Iq5XA,6JTBo69T5tEByZEEb4KZYl,62KdIZuIRENAjJ8iT2Mu5H,2HN58gcFvTkDSdes9K5oAr,3fa1ZDqgBCKUW3NyIcN3ec,0HXqP5DLdRLYp0hfQxiKhK"
Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,metal,"https://i.scdn.co/image/ab67616d00001e028b4b46b28175fc4726729c17,https://i.scdn.co/image/ab67616d00001e02a97ad1bbff6935751de58c0f,https://i.scdn.co/image/ab67616d00001e0249c464cf5f7bb5cbb4120acc,https://i.scdn.co/image/ab67616d00001e0268780bf3f5a4af94f2c953c6,https://i.scdn.co/image/ab67616d00001e02b996d7b97a535b5a31ab75cc,https://i.scdn.co/image/ab67616d00001e0289c159e4ffe46d64453fa2b9,https://i.scdn.co/image/ab67616d00001e02fb94cdee49bcfbbefa8400ee,https://i.scdn.co/image/ab67616d00001e0273334683c071cfa000319c53,https://i.scdn.co/image/ab67616d00001e026575bfed1925736405fd8adf,https://i.scdn.co/image/ab67616d00001e02295294827ebbbb6293915643,https://i.scdn.co/image/ab67616d00001e024804f1513736e5e2b3e053dc,https://i.scdn.co/image/ab67616d00001e027d52a2c460257f28cf61c676,https://i.scdn.co/image/ab67616d00001e02e391cbc2be368101d7e31db1,https://i.scdn.co/image/ab67616d00001e024f748de1ee858fab378977d3,https://i.scdn.co/image/ab67616d00001e02d5c825d86ca2f087383ea730,https://i.scdn.co/image/ab67616d00001e029989949d5b4f76d1aa9e0304,https://i.scdn.co/image/ab67616d00001e027e0340882058e194fb23f9c3,https://i.scdn.co/image/ab67616d00001e02a0c971d4cbfc9d5665d14b3d,https://i.scdn.co/image/ab67616d00001e02d7ad34895b112bcbfbe760f3,https://i.scdn.co/image/ab67616d00001e027835994cafa969e93bf18f7d","1a1WAQEoebVlvCWng0k3fG,7IohthhlKo2iY7hLnFNbbb,7EJJDLuHElcErtyXXj4ZIO,7vAcymF4feKxvqcUDzLQD2,1puWBmHmo4gAPU0cbp4UhK,3BSdqYon6S0ufN6scU1U4W,2IA9d7atwNgtiS6Tpv9WKt,440w9VaZP1M7FnfMdHapR3,6uMD4JEbdbp5NM6ytncSnF,5YEezQ7GrCn9pJ6BzuCmcq,4KXYNMizBHgXUFM1UOUhoJ,36S44cV7Qq3EN9dnnZj407,578zOjU7XERB2xRyXAwiF3,5RU1A2XE2FEnVJXdqgiq2c,7E7ME2x2ODYKks08G4fN62,6cNLSrGEjnrEhV5valjcYD,0V6rYum8SZIVzofuvCWpyY,0RP9MT74WH7Yis10EO7tZS,1qfm8YhH28Bgs3e8hutsqw,5zCYeTXuAIGtf8MxVrQxDI"
Hollywood Undead,0CEFCo8288kQU7mJi25s6E,metal,"https://i.scdn.co/image/ab67616d00001e02b216f9b370d01ffff16204a8,https://i.scdn.co/image/ab67616d00001e02c5c9f461ad3783aea78c04c4,https://i.scdn.co/image/ab67616d00001e02ecf1e28e7303227937b42527,https://i.scdn.co/image/ab67616d00001e025b86643ed874db7cb7c8dde7,https://i.scdn.co/image/ab67616d00001e029d9ad06a0afeb368cdab1067,https://i.scdn.co/image/ab67616d00001e02f7ca3f6073567209d99cfb7c,https://i.scdn.co/image/ab67616d00001e02eeb9d927f8b79492e716fc47,https://i.scdn.co/image/ab67616d00001e02e5991792ed23a15c8c8927d5,https://i.scdn.co/image/ab67616d00001e02b1a5454999297ac0b933efd0,https://i.scdn.co/image/ab67616d00001e02498461779bed6c072562a8f3,https://i.scdn.co/image/ab67616d00001e0263ffb23c9695394700d46045,https://i.scdn.co/image/ab67616d00001e0229f572882f1c5513f16064db,https://i.scdn.co/image/ab67616d00001e026fe5736a551c289ca2854f29,https://i.scdn.co/image/ab67616d00001e02ef066c5098970cf072848524,https://i.scdn.co/image/ab67616d00001e02af869954d48d02f3611b4584,https://i.scdn.co/image/ab67616d00001e026e4b663aa838cc279d4e9222,https://i.scdn.co/image/ab67616d00001e0236d06886217b70a46c5c8217,https://i.scdn.co/image/ab67616d00001e02ac25ed9b3d41e15828bc02c0,https://i.scdn.co/image/ab67616d00001e028d2fe2e26ccaca9775849f61,https://i.scdn.co/image/ab67616d00001e02cd1c84838f952fe4607b66ea","4G0Sc7oeBh0AbSMvrKtscr,4I3YOnPD8WyNmj8ePI3uzF,2vfJq1u1fi60RaX0p4niHr,4BkgVYQahJpk3ITK2miE7J,56CWTHCr8ZBZ1ojmppH5br,7MJ3l1iCbgr6trDod3ZOci,5vz3PvKA4yReWpzLVwG1WW,4ltnRU2rPIbK3RPdtQFAWm,0k5XIwyJqV4MWdZOGwgzi0,3QAFP2noxdZuzoyDebHimG,25GrtA2hSizszJiJWHVOfO,15lJDiNH3kFh7uY3E9TEqM,1zBM6YHxolS0n7AAx4hC3m,3e6mo5QnQyRNozzjlpNUzd,05ofL0H4dSj3jCuzEtVzZN,2rodQLm8g9RKzb7mV7yOBw,1KeuV8OlyPtN8M9Wdcmqqg,4hRcMurhLhLlBWuyf8Tv4S,43QqMzEZ2C5TRN0nUzyVRX,7ChFsyNVIt4tf0RkZcV7Vw"
Deftones,6Ghvu1VvMGScGpOUJBAHNH,metal,"https://i.scdn.co/image/ab67616d00001e0203e3921ebbf0437d8893507a,https://i.scdn.co/image/ab67616d00001e0266c9f5d6f13bfc9abedc1056,https://i.scdn.co/image/ab67616d00001e02a1de34b79834eddf96f803ff,https://i.scdn.co/image/ab67616d00001e0273652b7a0dc388dd1d044b69,https://i.scdn.co/image/ab67616d00001e02b03c58ed6442d375dece08ce,https://i.scdn.co/image/ab67616d00001e0258df6181041c38412db1b253,https://i.scdn.co/image/ab67616d00001e0205dcb69c7d4b76293c77411e,https://i.scdn.co/image/ab67616d00001e025b37a73489927b4d3dd1729b,https://i.scdn.co/image/ab67616d00001e0272c2145d48f68917a7361b15,https://i.scdn.co/image/ab67616d00001e02fdf04b824d53ee302180b5e5,https://i.scdn.co/image/ab67616d00001e02c40a213ca00157f2c92e01a2,https://i.scdn.co/image/ab67616d00001e02c869fa3b4e0ce4dd9818a40e,https://i.scdn.co/image/ab67616d00001e02e8e8eda544f82d427b173d9d,https://i.scdn.co/image/ab67616d00001e021ba8a746a539965942147e0a,https://i.scdn.co/image/ab67616d00001e029bb36ec0850f21845af83b2d,https://i.scdn.co/image/ab67616d00001e02c09a38cf054085b18eeb88ae,https://i.scdn.co/image/ab67616d00001e025c53799f473fa3e1a48c00ed,https://i.scdn.co/image/ab67616d00001e020b1129853982ea17845d4eb6,https://i.scdn.co/image/ab67616d00001e02e0aa988082afc4ea586ab8dc,https://i.scdn.co/image/ab67616d00001e02d0a2e331d9ca2a43be410718","57KFwKnC0ZjaIQGnhE7ops,0VEFy5MsBiq0u2lWL0OwOd,3tsXyEbUQehXPaRFCS8K1n,4PIVdqvL1Rc7T7Vfsr8n8Q,3FYZ9IY806abMbNRhDghmV,7rLUzHOq0d0mRGGEIqKfli,4RQnFSkkZlA65Xxchhnaha,4T97r2arNiQLX82pUApZfq,1GjjBpY2iDwSQs5bykQI5e,4o1KnoVpzXZceJxyjELEQB,1yBrf61TnaQnACsBb9pLtZ,4ilqDlqD37nilewk9x8tyZ,3hBCkMqaYnCmJciEUKqyfC,6lYtFcxdbPrdFAg6UUoc5W,0UArfu79AC2LrQ6lsvohp5,6252G7bGCVijXlqAjtjeDP,5LEXck3kfixFaA3CqVE7bC,7o4UsmV37Sg5It2Eb7vHzu,30YN03R4Bjl8Qwz8wPRoXG,2PWyajA486Gba7JcwIVEPl"
Shinedown,70BYFdaZbEKbeauJ670ysI,metal,"https://i.scdn.co/image/ab67616d00001e02bb85bcab29cd1c193c46afb1,https://i.scdn.co/image/ab67616d00001e027b6fda92d5912fef92f373de,https://i.scdn.co/image/ab67616d00001e02f975547b38522bb35ea09625,https://i.scdn.co/image/ab67616d00001e0252224e758d5aebeb86fd39bd,https://i.scdn.co/image/ab67616d00001e02931389a97111a05bf684a4fa,https://i.scdn.co/image/ab67616d00001e02163d67b70d02808aa057e10b,https://i.scdn.co/image/ab67616d00001e0210223efc63645fa8a1cff329,https://i.scdn.co/image/ab67616d00001e02224750d6aed7f44e2299b3bd,https://i.scdn.co/image/ab67616d00001e02a24befd5cbb5a31f0ac9eacb,https://i.scdn.co/image/ab67616d00001e0265f59381697c56ccb7593591,https://i.scdn.co/image/ab67616d00001e02c3f10b30ec1ec7c37d118a9e,https://i.scdn.co/image/ab67616d00001e02d03c432e09258c54edc57c31,https://i.scdn.co/image/ab67616d00001e027c069ef94bb634beceaae4aa,https://i.scdn.co/image/ab67616d00001e022354254150d49a6c3d9f00f5,https://i.scdn.co/image/ab67616d00001e02d609342d04c349815b5fe099,https://i.scdn.co/image/ab67616d00001e02da2475bd0b486cf03e25292a,https://i.scdn.co/image/ab67616d00001e022277315ae655737c7a870434,https://i.scdn.co/image/ab67616d00001e02f4d585cf5a98f585ac7d1b6b,https://i.scdn.co/image/ab67616d00001e024bc4b58d81a02127359b9d11,https://i.scdn.co/image/ab67616d00001e023f59abdb16b40d25e8079fa6","0dtwIycvTaFNjo44QRwWz7,7969zwJB8p021EBcCUjsv9,2WvIDc4wdKshyFh2EzLAs0,511AeIx5SwqUp6stQyxm47,6bcXrDcj2lRLxNL8U15Ghs,320IHgTaLRjvcRhyfmYbk7,4PeRcYNYVB1mD4wemj5zld,4KnWR76aRieR6QREuid3y7,661dSFpYtPulSNDZZLkokq,4j1A1HN0deBbS7ZylrF2Gh,3it79VcFppdRmyIRCp0lj5,311sQUy4H8IFHsY9j8kx5q,2lz1uIcRkCP6h6AoO7oCI6,3qJzm1DF5P92CaVzgUNKu4,0gLVNSNAW4ghjFqHMDFA3l,2p732bJ3OshHkiQGJfz1Jo,3jOuZwZorZqcxcRAwLXDIV,0qADABMCJvHkZBCjtEQ833,24SYZGIwQTHZXPhsEyJ83k,6QMmbhbGIONo7Ptgbk5dR8"
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,metal,"https://i.scdn.co/image/ab67616d00001e0271f666344128936b6ac375a0,https://i.scdn.co/image/ab67616d00001e02f5e7b2e5adaa87430a3eccff,https://i.scdn.co/image/ab67616d00001e02645d6b9074c9a419f4413591,https://i.scdn.co/image/ab67616d00001e02a2982eadad9b21912ed6c2e8,https://i.scdn.co/image/ab67616d00001e02c65f8d04502eeddbdd61fa71,https://i.scdn.co/image/ab67616d00001e02d1cc54539b591b5c6866a101,https://i.scdn.co/image/ab67616d00001e027cf4c0d42c5b62c9deebdcd8,https://i.scdn.co/image/ab67616d00001e02f54113dbac5b8f0517938cfa,https://i.scdn.co/image/ab67616d00001e0230d45198d0c9e8841f9a9578,https://i.scdn.co/image/ab67616d00001e02d6142d7509d2fc58896fc9e1,https://i.scdn.co/image/ab67616d00001e0228afd76e21eed9788506c40e,https://i.scdn.co/image/ab67616d00001e0277a74db0f79b1e9d8396f7c9,https://i.scdn.co/image/ab67616d00001e028fc454734a3d19585bc12dd1,https://i.scdn.co/image/ab67616d00001e02ffffd390ca4b699c8702840e,https://i.scdn.co/image/ab67616d00001e0219362bd633b79c8fd88aa14c,https://i.scdn.co/image/ab67616d00001e0245ecda133df56b0a57be16f8,https://i.scdn.co/image/ab67616d00001e022dc63e977bd5101072adcef6,https://i.scdn.co/image/ab67616d00001e027ee6a22e663bab03232fd5c1,https://i.scdn.co/image/ab67616d00001e02ba00e990d1520a4cde41ce0c,https://i.scdn.co/image/ab67616d00001e02716cc486153497b755f47d04","3T0iEi5WFKzbsq14V9wYCK,3QxX3NbWyLlLG6lP1xveL3,3qL21V8J9Zj8X00Qlgvj6l,1UeOoLhpWzpuM5cWQsbCXg,0cn6MHyx4YuZauaB7Pb66o,4GObQJaZ0bAHb2mXSKA07P,6lA1sGw7eCv27bcpd5E0wT,7jS7xNFlUTP8GfhLW2Azlj,6jWde94ln40epKIQCd8XUh,5eCxxOlWPFVH7KnMyZZutw,5AOu8nTJSHWiIDxPvcIDRF,3EZeqOrysyyuUXoJv0Vy5K,7p5mnxLTjbvs4kInkK8za9,4T0mAffZnPKUW2QTcSX5zG,3kQs7B3H8jmWbzNecTrn1i,0SbC22F5vzsEKi03NUe2N5,3sSfjX4fhZonjyZ10x0l0f,2u4DfcR6ga2xHaaXjkc8Vi,00OQIrRjQgZmacSnjK8L7M,6Y0NHxD4sVGtU3E7xSO3HY"
